id,Type,Title,Country,Data Added,Release Year,Rating,Genre
173,TV Show,Brotherhood,Brazil,10/25/2019,2019.0,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas"
174,TV Show,Nobody's Looking,Brazil,11/22/2019,2019.0,TV-MA,"International TV Shows, TV Comedies, TV Dramas"
175,TV Show,Lugar de Mulher,Brazil,11/28/2019,2019.0,TV-MA,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies"
176,Movie,Gabriel and the Mountain,"Brazil, France",11/9/2018,2017.0,TV-MA,"Dramas, Independent Movies, International Movies"
177,Movie,City of God,"Brazil, France, Germany",1/1/2020,2002.0,R,"Dramas, Independent Movies, International Movies"
178,Movie,On Yoga The Architecture of Peace,"Brazil, India, China, United States",1/10/2018,2017.0,TV-14,"Documentaries, Faith & Spirituality"
179,Movie,Elena,"Brazil, United States",9/1/2019,2012.0,TV-14,"Documentaries, International Movies"
180,Movie,Day of the Dead: Bloodline,Bulgaria,4/5/2018,2018.0,R,"Horror Movies, Independent Movies"
181,Movie,Acts of Vengeance,"Bulgaria, United States",1/25/2018,2017.0,R,"Action & Adventure, International Movies"
182,Movie,Bullet Head,"Bulgaria, United States",3/7/2018,2017.0,R,"International Movies, Thrillers"
183,Movie,Boyka: Undisputed,"Bulgaria, United States",8/1/2019,2016.0,R,Action & Adventure
184,Movie,Automata,"Bulgaria, United States, Spain, Canada",9/8/2017,2014.0,R,"International Movies, Sci-Fi & Fantasy, Thrillers"
185,Movie,Jailbreak,Cambodia,5/2/2018,2017.0,TV-MA,"Action & Adventure, International Movies"
186,Movie,First They Killed My Father,"Cambodia, United States",9/15/2017,2017.0,TV-MA,Dramas
187,Movie,Catwalk: Tales from the Cat Show Circuit,Canada,1/7/2019,2018.0,TV-PG,"Documentaries, International Movies"
188,Movie,Standoff,Canada,12/11/2018,2015.0,R,Action & Adventure
189,Movie,Withdrawn,Canada,5/1/2018,2017.0,TV-MA,"Dramas, Independent Movies"
190,Movie,Bon Cop Bad Cop 2,Canada,11/11/2017,2017.0,TV-MA,"Action & Adventure, Comedies, International Movies"
191,Movie,Below Her Mouth,Canada,8/1/2017,2016.0,TV-MA,"Dramas, Independent Movies, International Movies"
192,Movie,The Captive,Canada,7/20/2018,2014.0,R,"Dramas, Thrillers"
193,Movie,Blurred Lines: Inside the Art World,Canada,12/31/2017,2017.0,TV-MA,Documentaries
194,Movie,Prosecuting Evil: The Extraordinary World of Ben Ferencz,Canada,6/1/2019,2019.0,TV-14,Documentaries
195,Movie,The Confirmation,Canada,2/6/2019,2016.0,PG-13,"Comedies, Dramas, Independent Movies"
196,Movie,My Babysitter's a Vampire: The Movie,Canada,10/17/2018,2010.0,TV-PG,"Children & Family Movies, Comedies"
197,Movie,Perfect Bid: The Contestant Who Knew Too Much,Canada,4/30/2019,2017.0,TV-MA,Documentaries
198,Movie,The New Romantic,Canada,4/15/2019,2018.0,TV-MA,"Comedies, Independent Movies, Romantic Movies"
199,Movie,The Heretics,Canada,9/4/2019,2017.0,TV-MA,Horror Movies
200,Movie,Invisible Essence: The Little Prince,Canada,1/14/2019,2018.0,TV-PG,Documentaries
201,Movie,Birthmarked,Canada,6/28/2018,2018.0,TV-MA,"Comedies, Independent Movies, International Movies"
202,Movie,Undercover Grandpa,Canada,11/1/2017,2016.0,PG-13,"Action & Adventure, Children & Family Movies, Comedies"
203,Movie,The Wrong Babysitter,Canada,6/18/2019,2017.0,TV-14,Thrillers
204,Movie,Jack of all Trades,Canada,7/16/2019,2018.0,TV-MA,"Documentaries, Sports Movies"
205,Movie,Counterfeiting in Suburbia,Canada,7/1/2018,2018.0,TV-14,"Dramas, Thrillers"
206,Movie,Entanglement,Canada,12/9/2018,2018.0,TV-MA,"Dramas, Independent Movies, Romantic Movies"
207,Movie,Dear Santa,Canada,11/4/2019,2011.0,TV-PG,"Comedies, Romantic Movies"
208,Movie,At First Light,Canada,12/27/2018,2018.0,TV-14,"Dramas, Sci-Fi & Fantasy"
209,Movie,Goon: Last of the Enforcers,Canada,12/30/2017,2016.0,R,"Comedies, International Movies, Sports Movies"
210,Movie,"Martin Matte: La vie, la mort...eh la la..!",Canada,10/14/2019,2019.0,TV-14,Stand-Up Comedy
211,Movie,Long Time Running,Canada,11/12/2017,2017.0,TV-14,"Documentaries, International Movies, Music & Musicals"
212,Movie,Elliot the Littlest Reindeer,Canada,11/1/2019,2018.0,PG,Children & Family Movies
213,Movie,Cop and a Half: New Recruit,Canada,8/17/2017,2017.0,PG,"Children & Family Movies, Comedies"
214,Movie,Pants on Fire,Canada,3/1/2019,2014.0,TV-G,"Children & Family Movies, Comedies"
215,Movie,Across The Line,Canada,4/1/2019,2015.0,TV-MA,"Dramas, Sports Movies"
216,Movie,My Perfect Romance,Canada,5/1/2018,2018.0,PG,"International Movies, Romantic Movies"
